Job ID,partition,nodes,taskspernode,threadspertask,error_code,internal_runtime[s],total_runtime[s],scale,edgefactor,bfs_harmonic_mean_teps,sssp_harmonic_mean_teps,bfs_harmonic_mean_cut_teps,sssp_harmonic_mean_cut_teps,mpi_modules,prep_commands
17944,cn-eth,1,1,128,0,0.0,3.71,14,16,63565300.0,21337300.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17945,cn-eth,1,1,128,0,0.01,5.52,14,32,66360500.0,22762900.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17946,cn-eth,1,1,128,0,0.02,6.42,16,8,53523700.0,16263500.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17947,cn-eth,1,1,128,0,0.02,10.54,16,16,58314100.0,17979900.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17948,cn-eth,1,1,128,0,0.01,19.65,16,32,59437700.0,16863600.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17949,cn-eth,1,1,128,0,0.02,120.29,20,8,39718900.0,7817690.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17950,cn-eth,1,1,128,0,0.0,225.82,20,16,45985700.0,8195170.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17951,cn-eth,1,1,128,0,0.0,429.55,20,32,52367000.0,8560680.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17952,cn-eth,2,1,128,0,0.01,2.73,14,8,43718300.0,18867200.0,21899200.0,9450910.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17953,cn-eth,2,1,128,0,0.01,3.53,14,16,42668500.0,21347200.0,21440200.0,10726600.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17954,cn-eth,2,1,128,0,0.0,5.4,14,32,41241600.0,21280800.0,20667500.0,10664500.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17955,cn-eth,2,1,128,0,0.01,5.75,16,8,38521900.0,18699600.0,19307600.0,9372420.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17956,cn-eth,2,1,128,0,0.0,9.78,16,16,38086700.0,18504300.0,19074200.0,9267150.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17957,cn-eth,2,1,128,0,0.02,17.64,16,32,39481700.0,18344000.0,19755100.0,9178630.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17958,cn-eth,2,1,128,0,0.02,93.7,20,8,31398900.0,10558100.0,15688900.0,5275490.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17959,cn-eth,2,1,128,0,0.02,178.19,20,16,33445800.0,10484000.0,16717300.0,5240230.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17960,cn-eth,2,1,128,0,0.01,348.46,20,32,35448700.0,10531800.0,17724500.0,5265940.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17961,cn-eth,4,1,128,0,0.0,2.36,14,8,85362700.0,29165900.0,64191900.0,21932500.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17962,cn-eth,4,1,128,0,0.02,2.79,14,16,89426500.0,35282400.0,67281800.0,26545400.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17963,cn-eth,4,1,128,0,0.01,3.86,14,32,77211400.0,36614700.0,58010400.0,27509300.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17964,cn-eth,4,1,128,0,0.01,4.05,16,8,77441400.0,32864400.0,58123600.0,24666300.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17965,cn-eth,4,1,128,0,0.0,6.43,16,16,64951400.0,32576400.0,48724100.0,24437600.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17966,cn-eth,4,1,128,0,0.0,11.42,16,32,59267800.0,31540000.0,44464400.0,23662200.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17967,cn-eth,4,1,128,0,0.0,55.82,20,8,44656700.0,19085100.0,33494500.0,14314700.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17968,cn-eth,4,1,128,0,0.0,110.34,20,16,45129700.0,17368500.0,33846600.0,13026100.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17969,cn-eth,4,1,128,0,0.02,217.43,20,32,46790800.0,16571200.0,35093000.0,12428400.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18583,cn-eth,8,1,128,0,0.0,2.86,14,8,134969000.0,32825800.0,118288000.0,28768900.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18584,cn-eth,8,1,128,0,0.0,2.49,14,16,161563000.0,48619900.0,141657000.0,42629600.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18585,cn-eth,8,1,128,0,0.01,3.06,14,32,176562000.0,63615000.0,154729000.0,55748900.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18586,cn-eth,8,1,128,0,0.01,3.13,16,8,172344000.0,55704600.0,150845000.0,48755700.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18587,cn-eth,8,1,128,0,0.01,4.17,16,16,178305000.0,70331200.0,156026000.0,61543500.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18588,cn-eth,8,1,128,0,0.01,6.56,16,32,170650000.0,70748400.0,149353000.0,61918800.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18589,cn-eth,8,1,128,0,0.01,26.23,20,8,116763000.0,51017200.0,102175000.0,44643500.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18590,cn-eth,8,1,128,0,0.0,49.9,20,16,98864800.0,45370100.0,86512200.0,39701300.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
18591,cn-eth,8,1,128,0,0.01,106.41,20,32,86560600.0,37725600.0,75742400.0,33010700.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
